,Area,PLC prog unit,Device Name,Device,PLC Tag,PLC dep gauge1,PLC dep gauge2,PLC dep pump1,PLC dep valve1,Volume,sim dep vol1,sim dep vol2
1,EBD,,RTDS-VGC-1,VV1S,VGC,RTDS-GCC-1,,,,RTDS-VGC-1,,RTDS
2,EBD,,RTDS-GCC-1,CG1S,MKS422,,,,,RTDS,,
3,EBD,,RTDS-GPI-1,PG1S,MKS317,RTDS-GCC-1,,,,RTDS,,
4,EBD,,,not labeled,PIP_Gamma,,,,,RTDS,,
5,EBD,,,not labeled,PIP_Gamma,,,,,RTDS,,
6,EBD,,,not labeled,PIP_Gamma,,,,,RTDS,,
7,EBD,,,not labeled,PIP_Gamma,,,,,RTDS,,
8,EBD,,,not labeled,PIP_Gamma,,,,,RTDS,,
9,EBD (GMD),,EM1K0-GMD-VGC-1,VV2S,VGC,RTDS-GCC-1,EM1K0-GMD-GCC-10,,,EM1K0-GMD-VGC-1,RTDS,GMD
10,EBD (GMD),GMD,EM1K0-GMD-GPI-10,GPI-10,MKS317,,,,,GMD,,
11,EBD (GMD),GMD,EM1K0-GMD-PTM-10,PTM-10,PTM_TwisTorr,,,,,,EM1K0-GMD-VRC-10-VOL,RoughingLine
12,EBD (GMD),GMD,EM1K0-GMD-VRC-10,VGC-10,VRC,,,,,,GMD,EM1K0-GMD-VRC-10-VOL
13,EBD (GMD),GMD,EM1K0-GMD-GCC-10,GCC-10,MKS422,EM1K0-GMD-GPI-10,,,,GMD,,
14,EBD (GMD),GMD,EM1K0-GMD-PTM-20,PTM-20,PTM_TwisTorr,,,,,,EM1K0-GMD-VRC-20-VOL,RoughingLine
15,EBD (GMD),GMD,EM1K0-GMD-VRC-20,VGC-20,VRC,,,,,,GMD,EM1K0-GMD-VRC-20-VOL
16,EBD (GMD),GMD,EM1K0-GMD-GCC-20,GCC-20,MKS422,EM1K0-GMD-GPI-10,,,,GMD,,
17,EBD (GMD),GMD,EM1K0-GMD-PTM-30,PTM-30,PTM_TwisTorr,,,,,,EM1K0-GMD-VRC-30-VOL,RoughingLine
18,EBD (GMD),GMD,EM1K0-GMD-VRC-30,VGC-30,VRC,,,,,,GMD,EM1K0-GMD-VRC-30-VOL
19,EBD (GMD),GMD,EM1K0-GMD-GCC-30,GCC-30,MKS422,EM1K0-GMD-GPI-10,,,,GMD,,
20,EBD (GMD),GMD,EM1K0-GMD-PRT-40,PR-40,EbaraEVA,,,,,,RoughingLine,
21,EBD (GMD),GMD,EM1K0-GMD-PTM-40,PTM-40,PTM_TwisTorr,,,,,,GMD,RoughingLine
22,EBD (GMD),GMD,EM1K0-GMD-VCN-40,VCN-40,,,,,,,,
23,EBD (GMD),GMD,EM1K0-GMD-VGC-40,VGC-40,,,,,,,,
24,EBD (GMD),GMD,EM1K0-GMD-VGP-40,VGP-40,,,,,,,GMD,EM1K0-GMD-VGP-40-VOL
25,EBD (GMD),GMD,EM1K0-GMD-GCC-40,GCC-40,MKS422,EM1K0-GMD-GPI-40,,,,GMD,,
26,EBD (GMD),GMD,EM1K0-GMD-GPI-40,GPI-40,MKS317,,,,,GMD,,
27,EBD (GMD),GMD,EM1K0-GMD-PTM-50,PTM-50,PTM_TwisTorr,,,,,,EM1K0-GMD-VRC-50-VOL,RoughingLine
28,EBD (GMD),GMD,EM1K0-GMD-VRC-50,VGC-50,VRC,,,,,,GMD,EM1K0-GMD-VRC-50-VOL
29,EBD (GMD),GMD,EM1K0-GMD-GCC-50,GCC-50,MKS422,EM1K0-GMD-GPI-70,,,,GMD,,
30,EBD (GMD),GMD,EM1K0-GMD-PTM-60,PTM-60,PTM_TwisTorr,,,,,,EM1K0-GMD-VRC-60-VOL,RoughingLine
31,EBD (GMD),GMD,EM1K0-GMD-VRC-60,VGC-60,VRC,,,,,,GMD,EM1K0-GMD-VRC-60-VOL
32,EBD (GMD),GMD,EM1K0-GMD-GCC-60,GCC-60,MKS422,EM1K0-GMD-GPI-70,,,,GMD,,
33,EBD (GMD),GMD,EM1K0-GMD-PTM-70,PTM-70,PTM_TwisTorr,,,,,,EM1K0-GMD-VRC-70-VOL,RoughingLine
34,EBD (GMD),GMD,EM1K0-GMD-VRC-70,VGC-70,VRC,,,,,,GMD,EM1K0-GMD-VRC-70-VOL
35,EBD (GMD),GMD,EM1K0-GMD-GCC-70,GCC-70,MKS422,EM1K0-GMD-GPI-70,,,,GMD,,
36,EBD (GMD),GMD,EM1K0-GMD-GPI-70,GPI-70,MKS317,,,,,GMD,,
37,EBD (GMD),,N/A,VGC-02,,,,,,,,
38,EBD,,IM2K0-XTES-GCC-1,CG2S,MKS422,IM2K0-XTES-GPI-1,,,,GMD,,
39,EBD,,IM2K0-XTES-GPI-1,PG2S,MKS317,,,,,GMD,,
40,EBD,,PCPM3B-PIP-1,IP1S (100L),PIP_Gamma,IM2K0-XTES-GCC-1,,,,GMD,,
41,EBD,,TV1K0-GAS-GCC-1,CG3S,MKS422,TV1K0-GAS-GPI-1,,,,GMD,,
42,EBD,,TV1K0-GAS-GPI-1,PG3S,MKS317,,,,,GMD,,
43,EBD,,TV1K0-GAS-VGC-1,VV3S,VGC,TV1K0-GAS-GCC-1,AT1K0_GAS_GCC_10,,,TV1K0-GAS-VGC-1,GMD,GATT
44,EBD (GATT) diff,,,VGC01,,,,,,GATT,,
